backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
zarrsjl,none,128,128,32,50,104857600,104858301,3,0.090646291,0.043615875,1103.1890979411392,2292.7431812384825,16,
zarrjl,zstd,128,128,32,50,104857600,10969026,1,0.145479125,0.064476708,687.3838428709274,1550.9476693506128,16,
zarrjl,zstd,128,128,32,50,104857600,10969026,2,0.115156917,0.088768667,868.3803162253814,1126.5236189701936,16,
zarrjl,zstd,128,128,32,50,104857600,10969026,3,0.111252708,0.056927333,898.854524961316,1756.625415773474,16,
zarrsjl,zstd,128,128,32,50,104857600,10969633,1,0.151026541,0.050676834,662.1352732961024,1973.2882287003172,16,
zarrsjl,zstd,128,128,32,50,104857600,10969633,2,0.133219375,0.0491515,750.6415639616985,2034.5259046010804,16,
zarrsjl,zstd,128,128,32,50,104857600,10969633,3,0.132277875,0.047382708,755.9843246650281,2110.474563842995,16,
mmap,none,256,256,16,50,209715200,209715200,1,0.163520125,0.032093334,1223.0910415461094,6231.823717660496,16,
mmap,none,256,256,16,50,209715200,209715200,2,0.143289666,0.031414208,1395.7740678940518,6366.545990909591,16,
mmap,none,256,256,16,50,209715200,209715200,3,0.138778083,0.030666042,1441.1497527314887,6521.87197813138,16,
raw,none,256,256,16,50,209715200,209715200,1,0.036702167,0.016333542,5449.269521333713,12244.741526363357,16,
raw,none,256,256,16,50,209715200,209715200,2,0.037437834,0.020705959,5342.189401235124,9659.055154122541,16,
raw,none,256,256,16,50,209715200,209715200,3,0.03620075,0.01617175,5524.7474154541005,12367.245350688701,16,
zarrjl,none,256,256,16,50,209715200,209715389,1,0.453900791,0.180934292,440.6249206117819,1105.373656863233,16,
zarrjl,none,256,256,16,50,209715200,209715389,2,0.450316791,0.176460959,444.13178455075644,1133.3951777968066,16,
zarrjl,none,256,256,16,50,209715200,209715389,3,0.45711725,0.166315,437.52450820878016,1202.537353816553,16,
zarrsjl,none,256,256,16,50,209715200,209715901,1,0.199658917,0.102758542,1001.7083284088935,1946.3102152617153,16,
zarrsjl,none,256,256,16,50,209715200,209715901,2,0.20104025,0.08994725,994.8256630202161,2223.5254551973517,16,
zarrsjl,none,256,256,16,50,209715200,209715901,3,0.20640475,0.092227917,968.9699486082563,2168.540790095042,16,
zarrjl,zstd,256,256,16,50,209715200,11084807,1,0.184958583,0.121705625,1081.3231630348291,1643.3094197577145,16,
zarrjl,zstd,256,256,16,50,209715200,11084807,2,0.19101575,0.124519041,1047.0340796505,1606.1800540208144,16,
zarrjl,zstd,256,256,16,50,209715200,11084807,3,0.197459333,0.122318917,1012.8667860941271,1635.070068516058,16,
zarrsjl,zstd,256,256,16,50,209715200,11085414,1,0.262580584,0.090773708,761.6709390820762,2203.2811527320223,16,
zarrsjl,zstd,256,256,16,50,209715200,11085414,2,0.255625584,0.11045575,782.394300564219,1810.6798423803195,16,
