backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
zarrjl_optimized_v3,none,512,512,64,20,1342177280,1342177613,1,0.333501834,0.935386542,3838.0598530681546,1368.4182340951404,1,1
zarrjl_optimized_v3,none,512,512,64,20,1342177280,1342177613,2,0.33435975,0.838907291,3828.2119782659247,1525.7943443001975,1,1
zarrjl_optimized_v3,none,512,512,64,20,1342177280,1342177613,3,0.417570416,0.791457458,3065.351258025904,1617.2694906868892,1,1
zarrsjl,none,512,512,64,20,1342177280,1342177981,1,0.921819042,0.69028925,1388.5588620765332,1854.2951378715518,1,1
zarrsjl,none,512,512,64,20,1342177280,1342177981,2,0.960039834,0.689868542,1333.2780106288797,1855.4259573702955,1,1
zarrsjl,none,512,512,64,20,1342177280,1342177981,3,0.950980333,0.68922575,1345.9794651715474,1857.15638163548,1,1
zarrjl_optimized_v3,none,512,512,64,50,3355443200,3355443533,1,0.84938975,1.864726333,3767.4106615955748,1716.0695075570643,1,1
zarrjl_optimized_v3,none,512,512,64,50,3355443200,3355443533,2,0.854756542,2.004360792,3743.7560787923167,1596.5189564534248,1,1
zarrjl_optimized_v3,none,512,512,64,50,3355443200,3355443533,3,0.862985375,1.9226665,3708.058204346742,1664.3552066882114,1,1
zarrsjl,none,512,512,64,50,3355443200,3355443901,1,2.601915583,1.601399208,1229.8631135105509,1998.2525181815877,1,1
zarrsjl,none,512,512,64,50,3355443200,3355443901,2,2.554334958,1.732426375,1252.772268561655,1847.120342992931,1,1
zarrsjl,none,512,512,64,50,3355443200,3355443901,3,2.420247125,1.618301709,1322.1790316143852,1977.3815860191987,1,1
