backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
zarrsjl,none,256,256,32,30,251658240,251658941,1,0.202757791,0.130069375,1183.678313007464,1845.1691645323892,4,4
zarrsjl,none,256,256,32,30,251658240,251658941,2,0.184657291,0.135606542,1299.7049761766514,1769.8261194507859,4,4
zarrsjl,none,256,256,32,30,251658240,251658941,3,0.218842875,0.114025542,1096.677239320677,2104.791573803701,4,4
zarrjl,none,256,256,32,30,251658240,251658429,1,0.550098083,0.185652166,436.28583232128807,1292.7401019388053,8,8
zarrjl,none,256,256,32,30,251658240,251658429,2,0.537374458,0.187410834,446.6159424346886,1280.6089961693463,8,8
zarrjl,none,256,256,32,30,251658240,251658429,3,0.530843,0.186893125,452.111076156227,1284.1563861699033,8,8
zarrsjl,none,256,256,32,30,251658240,251658941,1,0.197554833,0.123928875,1214.8525872814257,1936.5946798113032,8,8
zarrsjl,none,256,256,32,30,251658240,251658941,2,0.199177834,0.115095792,1204.9533584143705,2085.2195882191763,8,8
zarrsjl,none,256,256,32,30,251658240,251658941,3,0.204159167,0.102155333,1175.5533857561243,2349.3633954479888,8,8
zarrjl,none,256,256,32,30,251658240,251658429,1,0.56110375,0.18885725,427.728383565428,1270.8010944774426,16,16
zarrjl,none,256,256,32,30,251658240,251658429,2,0.563245125,0.169705208,426.1022232549283,1414.2170580881643,16,16
zarrjl,none,256,256,32,30,251658240,251658429,3,0.554845625,0.169120084,432.5527483432892,1419.109985777916,16,16
zarrsjl,none,256,256,32,30,251658240,251658941,1,0.202010208,0.123360417,1188.0587737427606,1945.518715294226,16,16
zarrsjl,none,256,256,32,30,251658240,251658941,2,0.183300875,0.12646275,1309.3227187267928,1897.7920375762822,16,16
zarrsjl,none,256,256,32,30,251658240,251658941,3,0.193847875,0.110273792,1238.0842451845294,2176.4010799592347,16,16
