backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
zarrsjl,none,256,256,16,50,209715200,209715901,2,0.130839166,0.17250925,1528.5942742863401,1159.3581213761001,1,1
zarrsjl,none,256,256,16,50,209715200,209715901,3,0.141759917,0.080604041,1410.8360404866771,2481.265176270753,1,1
mmap,none,256,256,32,50,419430400,419430400,1,0.26438675,0.062171083,1512.9351225051937,6433.85929114344,1,1
mmap,none,256,256,32,50,419430400,419430400,2,0.360100208,0.065482709,1110.8019132274426,6108.482775201008,1,1
mmap,none,256,256,32,50,419430400,419430400,3,0.334624333,0.062575209,1195.370331899922,6392.307854696897,1,1
raw,none,256,256,32,50,419430400,419430400,1,0.073185417,0.040800708,5465.569732286966,9803.751444705324,1,1
raw,none,256,256,32,50,419430400,419430400,2,0.077326708,0.041483125,5172.856964245782,9642.475102827957,1,1
raw,none,256,256,32,50,419430400,419430400,3,0.057401709,0.042738042,6968.433640190051,9359.343135092618,1,1
zarrjl_baseline,none,256,256,32,50,419430400,419430589,1,0.874594333,0.304646708,457.35489575828296,1312.9962986503042,1,1
zarrjl_baseline,none,256,256,32,50,419430400,419430589,2,0.783414875,0.304471125,510.58514813112276,1313.7534799071668,1,1
zarrjl_baseline,none,256,256,32,50,419430400,419430589,3,0.864834667,0.303313917,462.51614934395315,1318.7657327309516,1,1
zarrsjl,none,256,256,32,50,419430400,419431101,1,0.441561917,0.163247083,905.8752229305137,2450.2734912574215,1,1
zarrsjl,none,256,256,32,50,419430400,419431101,2,0.361357708,0.15572175,1106.9363988770926,2568.684207568949,1,1
zarrsjl,none,256,256,32,50,419430400,419431101,3,0.259663541,0.258039333,1540.454999802995,1550.151270930467,1,1
mmap,none,256,256,64,50,838860800,838860800,1,0.444135667,0.131908292,1801.2514180717667,6064.819639996551,1,1
mmap,none,256,256,64,50,838860800,838860800,2,0.512552208,0.130321084,1560.8166105100458,6138.684359009782,1,1
mmap,none,256,256,64,50,838860800,838860800,3,0.461404125,0.130682416,1733.8379885528766,6121.711126001834,1,1
raw,none,256,256,64,50,838860800,838860800,1,0.123290708,0.100395208,6488.729061398528,7968.507819616251,1,1
raw,none,256,256,64,50,838860800,838860800,2,0.11290775,0.095138334,7085.430362397621,8408.808167694002,1,1
raw,none,256,256,64,50,838860800,838860800,3,0.110652625,0.093036416,7229.833002154264,8598.783512898863,1,1
zarrjl_baseline,none,256,256,64,50,838860800,838860989,1,1.6883815,0.637760834,473.8265611178516,1254.3887259153953,1,1
zarrjl_baseline,none,256,256,64,50,838860800,838860989,2,1.607594083,0.65805275,497.6380595449106,1215.7080112498581,1,1
zarrjl_baseline,none,256,256,64,50,838860800,838860989,3,1.588117417,0.5982905,503.74109082640956,1337.1430768163627,1,1
zarrsjl,none,256,256,64,50,838860800,838861501,1,0.591594958,0.455468417,1352.2765689291086,1756.4335311530501,1,1
zarrsjl,none,256,256,64,50,838860800,838861501,2,0.59172925,0.455982333,1351.9696719403341,1754.453938459936,1,1
zarrsjl,none,256,256,64,50,838860800,838861501,3,0.577225458,0.443887875,1385.9402576800414,1802.2569325643328,1,1
mmap,none,512,512,32,50,1677721600,1677721600,1,0.927741583,0.265384333,1724.61817958633,6028.99192244329,1,1
mmap,none,512,512,32,50,1677721600,1677721600,2,0.925977375,0.266418333,1727.9039890148504,6005.592715723508,1,1
mmap,none,512,512,32,50,1677721600,1677721600,3,0.924483666,0.264579375,1730.6958022555264,6047.334566422647,1,1
raw,none,512,512,32,50,1677721600,1677721600,1,0.2218485,0.219398917,7212.128997942289,7292.652223985226,1,1
raw,none,512,512,32,50,1677721600,1677721600,2,0.215249667,0.222289042,7433.228688804429,7197.835689984215,1,1
raw,none,512,512,32,50,1677721600,1677721600,3,0.225825667,0.22229025,7085.111366016689,7197.796574523624,1,1
zarrjl_baseline,none,512,512,32,50,1677721600,1677721789,1,3.407428833,1.216551291,469.5622648093029,1315.1932120221636,1,1
zarrjl_baseline,none,512,512,32,50,1677721600,1677721789,2,3.235454792,1.254424542,494.52089516322934,1275.485249554373,1,1
zarrjl_baseline,none,512,512,32,50,1677721600,1677721789,3,3.306028667,1.140302625,483.96434549126064,1403.1362946305592,1,1
zarrsjl,none,512,512,32,50,1677721600,1677722301,1,1.224383542,0.797977459,1306.7800612432604,2005.069168250779,1,1
zarrsjl,none,512,512,32,50,1677721600,1677722301,2,1.243514875,0.825236292,1286.675400646092,1938.8386278096455,1,1
zarrsjl,none,512,512,32,50,1677721600,1677722301,3,1.236292209,0.806629208,1294.1924153143314,1983.5631838414658,1,1
mmap,none,512,512,64,20,1342177280,1342177280,1,0.67492425,0.210802542,1896.5091267649666,6072.033040284685,1,1
mmap,none,512,512,64,20,1342177280,1342177280,2,0.645647833,0.213453583,1982.5049114661863,5996.619883396382,1,1
mmap,none,512,512,64,20,1342177280,1342177280,3,0.644713791,0.209527916,1985.3771051098859,6108.971178809415,1,1
raw,none,512,512,64,20,1342177280,1342177280,1,0.174823666,0.187640041,7321.663189467724,6821.5717347876725,1,1
raw,none,512,512,64,20,1342177280,1342177280,2,0.171726583,0.184384875,7453.709132499306,6942.001072484931,1,1
raw,none,512,512,64,20,1342177280,1342177280,3,0.174394917,0.186643834,7339.663460489504,6857.981710770043,1,1
zarrjl_baseline,none,512,512,64,20,1342177280,1342177469,1,2.591482959,0.970467416,493.9256866631783,1318.9520625801208,1,1
zarrjl_baseline,none,512,512,64,20,1342177280,1342177469,2,2.635304542,0.997071375,485.7123643966307,1283.7596506067582,1,1
zarrjl_baseline,none,512,512,64,20,1342177280,1342177469,3,2.7077425,1.058793542,472.7185099764841,1208.9231273380774,1,1
zarrsjl,none,512,512,64,20,1342177280,1342177981,1,0.919872792,0.687494792,1391.4967494766383,1861.8322857055186,1,1
zarrsjl,none,512,512,64,20,1342177280,1342177981,2,0.919428292,0.812394208,1392.1694722006662,1575.5897658984788,1,1
zarrsjl,none,512,512,64,20,1342177280,1342177981,3,1.061565583,0.672777917,1205.7662950815543,1902.5594741689479,1,1
mmap,none,512,512,64,50,3355443200,3355443200,1,1.804874292,0.535505291,1772.9766633520203,5975.664580315043,1,1
mmap,none,512,512,64,50,3355443200,3355443200,2,1.852921834,0.5306275,1727.0021548032555,6030.595851138511,1,1
mmap,none,512,512,64,50,3355443200,3355443200,3,1.981943667,0.522953833,1614.5766669764787,6119.086997876541,1,1
raw,none,512,512,64,50,3355443200,3355443200,1,0.446808042,0.463555958,7161.912273727607,6903.157957037843,1,1
raw,none,512,512,64,50,3355443200,3355443200,2,0.4389295,0.469423541,7290.4646418160555,6816.8715893181,1,1
raw,none,512,512,64,50,3355443200,3355443200,3,0.442155166,0.479090584,7237.278326857771,6679.321420351689,1,1
zarrjl_baseline,none,512,512,64,50,3355443200,3355443389,1,6.730268916,2.202844625,475.46391384043767,1452.6671394265948,1,1
zarrjl_baseline,none,512,512,64,50,3355443200,3355443389,2,6.496065708,2.187116875,492.6058546574049,1463.113396717768,1,1
zarrjl_baseline,none,512,512,64,50,3355443200,3355443389,3,6.537107292,2.229716833,489.5131526931041,1435.1598160984956,1,1
zarrsjl,none,512,512,64,50,3355443200,3355443901,1,2.26969125,1.479968375,1409.8833927301785,2162.208364756443,1,1
zarrsjl,none,512,512,64,50,3355443200,3355443901,2,2.375207833,1.47278475,1347.2505250027946,2172.754708384915,1,1
